 "location" , "year" , "movement" ,
 "United_States" , "1893" , "Impressionism" ,
 "United_States" , "1893" , "Impressionism" ,
 "United_States" , "1893" , "Impressionism" ,
 "France" , "1952" , "Impressionism" ,
 "France" , "1952" , "Modernism" ,
 "France" , "1952" , "Fauvism" ,
 "France" , "1952" , "Impressionism" ,
 "France" , "1952" , "Modernism" ,
 "France" , "1952" , "Fauvism" ,
 "Spain" , "1634" , "Baroque" ,
 "Spain" , "1634" , "Baroque" ,
 "Spain" , "1929" , "Dada" ,
 "Spain" , "1929" , "Surrealism" ,
 "Spain" , "1929" , "Cubism" ,
 "Spain" , "1929" , "Dada" ,
 "Spain" , "1929" , "Surrealism" ,
 "Spain" , "1929" , "Cubism" ,
 "Spain" , "1929" , "Dada" ,
 "Spain" , "1929" , "Surrealism" ,
 "Spain" , "1929" , "Cubism" ,
 "Spain" , "1929" , "Dada" ,
 "Spain" , "1929" , "Surrealism" ,
 "Spain" , "1929" , "Cubism" ,
 "Spain" , "1929" , "Dada" ,
 "Spain" , "1929" , "Surrealism" ,
 "Spain" , "1929" , "Cubism" ,
 "Spain" , "1929" , "Dada" ,
 "Spain" , "1929" , "Surrealism" ,
 "Spain" , "1929" , "Cubism" ,
 "Netherlands" , "1888" , "Post-Impressionism" ,
 "Netherlands" , "1888" , "Post-Impressionism" ,
 "Netherlands" , "1888" , "Post-Impressionism" ,
 "Netherlands" , "1888" , "Post-Impressionism" ,
 "United_States" , "1884" , "Realism_(arts)" ,
 "Netherlands" , "1632" , "Baroque" ,
 "Netherlands" , "1632" , "Dutch_Golden_Age_painting" ,
 "Netherlands" , "1632" , "Baroque" ,
 "Netherlands" , "1632" , "Dutch_Golden_Age_painting" ,
 "Netherlands" , "1632" , "Baroque" ,
 "Netherlands" , "1632" , "Dutch_Golden_Age_painting" ,
 "Netherlands" , "1632" , "Baroque" ,
 "Netherlands" , "1632" , "Dutch_Golden_Age_painting" ,
 "South_Holland" , "1632" , "Baroque" ,
 "South_Holland" , "1632" , "Dutch_Golden_Age_painting" ,
 "Rotterdam" , "1632" , "Baroque" ,
 "Rotterdam" , "1632" , "Dutch_Golden_Age_painting" ,
 "Netherlands" , "1663" , "Dutch_Golden_Age_painting" ,
 "Netherlands" , "1663" , "Baroque_painting" ,
 "Netherlands" , "1663" , "Dutch_Golden_Age_painting" ,
 "Netherlands" , "1663" , "Baroque_painting" ,
 "Netherlands" , "1883" , "Post-Impressionism" ,
 "Netherlands" , "1883" , "Post-Impressionism" ,
 "Netherlands" , "1883" , "Post-Impressionism" ,
 "Netherlands" , "1883" , "Post-Impressionism" ,
 "United_Kingdom" , "1821" , "Romanticism" ,
 "United_Kingdom" , "1821" , "Romanticism" ,
 "England" , "1821" , "Romanticism" ,
 "England" , "1821" , "Romanticism" ,
 "Netherlands" , "1884" , "Post-Impressionism" ,
 "Netherlands" , "1888" , "Post-Impressionism" ,
 "Netherlands" , "1890" , "Post-Impressionism" ,
 "Netherlands" , "1906" , "Post-Impressionism" ,
 "Netherlands" , "1884" , "Post-Impressionism" ,
 "Netherlands" , "1888" , "Post-Impressionism" ,
 "Netherlands" , "1890" , "Post-Impressionism" ,
 "Netherlands" , "1906" , "Post-Impressionism" ,
 "Netherlands" , "1884" , "Post-Impressionism" ,
 "Netherlands" , "1888" , "Post-Impressionism" ,
